"""ПРОГРАММНЫЙ МОДУЛЬ ДЛЯ ЦИФРОВОГО ПОДПИСАНИЯ PDF-ДОКУМЕНТОВ ""PDFDIGISIGN""";Ложников П.С., Семиколенов М.А., Сулавко А.Е.;;https://www.elibrary.ru//item.asp?id=41184551;-
РАЗРАБОТКА ГИБРИДНЫХ, БЫСТРО ОБУЧАЮЩИХСЯ НЕЙРОННЫХ СЕТЕЙ ПЕРЕМЕННОЙ СТРУКТУРЫ И ИХ ПРИМЕНЕНИЕ ДЛЯ РАСПОЗНАНИЯ ДВИГАТЕЛЬНОЙ АКТИВНОСТИ ЧЕЛОВЕКА;Ложников П.С.;;https://www.elibrary.ru//item.asp?id=50715821;-
МЕТОДОЛОГИЯ ЗАЩИТЫ СМЕШАННОГО ДОКУМЕНТООБОРОТА НА ОСНОВЕ МНОГОФАКТОРНОЙ БИОМЕТРИЧЕСКОЙ АУТЕНТИФИКАЦИИ С ПРИМЕНЕНИЕМ НЕЙРОСЕТЕВЫХ АЛГОРИТМОВ;Ложников П.С.;;https://www.elibrary.ru//item.asp?id=45636285;-
МЕТОДОЛОГИЯ ЗАЩИТЫ СМЕШАННОГО ДОКУМЕНТООБОРОТА НА ОСНОВЕ МНОГОФАКТОРНОЙ БИОМЕТРИЧЕСКОЙ АУТЕНТИФИКАЦИИ С ПРИМЕНЕНИЕМ НЕЙРОСЕТЕВЫХ АЛГОРИТМОВ;Ложников П.С.;;https://www.elibrary.ru//item.asp?id=54466134;-
ДОСТИГНУТЫЕ РЕЗУЛЬТАТЫ И ПЕРСПЕКТИВНЫЙ АНАЛИЗ В ОБЛАСТИ РАСПОЗНАВАНИЯ СУБЪЕКТОВ ПО ПАРАМЕТРАМ РУКОПИСНОЙ ПОДПИСИ;Рахимжанов Э.А., Жумажанова С.С., Семиколенов М.А.;;https://www.elibrary.ru//item.asp?id=41454915;-
ANDROID TESTABLE ARCHITECTURE OVERVIEW AND USAGE IN BIOMETRIC SECURITY SYSTEMS;Pasenchuk V.A., Zhumazhanova S.S., Lozhnikov P.S., Semikolenov M.A.;;https://www.elibrary.ru//item.asp?id=41384253;-
АНАЛИТИЧЕСКОЕ ИССЛЕДОВАНИЕ ПРОБЛЕМЫ ДИСТАНЦИОННОГО РАСПОЗНАВАНИЯ ФУНКЦИОНАЛЬНОГО СОСТОЯНИЯ ОПЕРАТОРА ИНФОРМАЦИОННО-ВЫЧИСЛИТЕЛЬНЫХ СИСТЕМ В ПРОЦЕССЕ ПРОФЕССИОНАЛЬНОЙ ДЕЯТЕЛЬНОСТИ;Гренц Д.С.;;https://www.elibrary.ru//item.asp?id=41454900;-
ОЦЕНКА ЭФФЕКТИВНОСТИ АЛГОРИТМОВ ПРИНЯТИЯ РЕШЕНИЙ ПРИ ИДЕНТИФИКАЦИИ ИЗМЕНЕННОГО СОСТОЯНИЯ СУБЪЕКТОВ ПО ТЕРМОГРАММАМ ЛИЦА И ШЕИ;Белгородцев А.А., Жумажанова С.С., Ложников П.С.;;https://www.elibrary.ru//item.asp?id=38256884;-
A SIMPLE NOMOGRAM FOR FAST COMPUTING THE CODE ENTROPY FOR 256-BIT CODES THAT ARTIFICIAL NEURAL NETWORKS OUTPUT;Ivanov A.I., Lozhnikov P.S., Bannykh A.G.;;https://www.elibrary.ru//item.asp?id=41688288;-
О ВОЗМОЖНОСТИ ВНЕДРЕНИЯ ТЕХНОЛОГИЙ РАСПРЕДЕЛЕННОГО РЕЕСТРА В СИСТЕМЫ СМЕШАННОГО ДОКУМЕНТООБОРОТА;Ложников П.С., Сулавко А.Е., Жумажанова С.С.;;https://www.elibrary.ru//item.asp?id=37081930;-
МОДЕЛЬ УГРОЗ ИНФОРМАЦИОННОЙ БЕЗОПАСНОСТИ ПРОГРАММНОГО ОБЕСПЕЧЕНИЯ КОМПЬЮТЕРНЫХ СЕТЕЙ НА ОСНОВЕ АТРИБУТИВНЫХ МЕТАГРАФОВ;Новохрестов А.К.;;https://www.elibrary.ru//item.asp?id=54462541;-
ЗАЩИТА ДОКУМЕНТОВ НА БУМАЖНОМ И ЭЛЕКТРОННОМ НОСИТЕЛЕ БИОМЕТРИЧЕСКИМИ И КРИПТОГРАФИЧЕСКИМИ МЕТОДАМИ (ЧАСТЬ 1);Ложников П.С., Самотуга А.Е.;;https://www.elibrary.ru//item.asp?id=36495167;-
СПОСОБ ГЕНЕРАЦИИ КЛЮЧЕВЫХ ПОСЛЕДОВАТЕЛЬНОСТЕЙ НА ОСНОВЕ МУЛЬТИМОДАЛЬНОЙ БИОМЕТРИИ;Ложников П.С., Сулавко А.Е., Лукин Д.В., Белгородцев А.А.;;https://www.elibrary.ru//item.asp?id=36820109;-
PERSPECTIVES OF SUBJECTS' PSYCHOPHYSIOLOGICAL STATE IDENTIFICATION USING DYNAMIC BIOMETRIC FEATURES;Lozhnikov P.S., Sulavko A.E., Zhumazhanova S.S., Borisov R.V.;;https://www.elibrary.ru//item.asp?id=35723505;-
GENERATION OF A BIOMETRICALLY ACTIVATED DIGITAL SIGNATURE BASED ON HYBRID NEURAL NETWORK ALGORITHMS;Lozhnikov P.S., Sulavko A.E.;;https://www.elibrary.ru//item.asp?id=35725112;-
FLEXIBLE FAST LEARNING NEURAL NETWORKS AND THEIR APPLICATION FOR BUILDING HIGHLY RELIABLE BIOMETRIC CRYPTOSYSTEMS BASED ON DYNAMIC FEATURES;Vasilyev V.I., Lozhnikov P.S., Sulavko A.E., Fofanov G.A., Zhumazhanova S. S.S.;;https://www.elibrary.ru//item.asp?id=38635509;-
О ВОЗМОЖНОСТИ ОБЕСПЕЧЕНИЯ РАВНОЙ ЗАЩИТЫ ДОКУМЕНТОВ НА БУМАЖНОМ И ЭЛЕКТРОННОМ НОСИТЕЛЕ БИОМЕТРИЧЕСКИМИ И КРИПТОГРАФИЧЕСКИМИ МЕТОДАМИ (ОБЗОР);Ложников П.С.;;https://www.elibrary.ru//item.asp?id=36516568;-
СПОСОБ СОКРЫТИЯ БИОМЕТРИЧЕСКОГО ИДЕНТИФИКАТОРА ПОЛЬЗОВАТЕЛЯ И МЕТАДАННЫХ В ГИБРИДНЫХ ДОКУМЕНТАХ;Ложников П.С.;;https://www.elibrary.ru//item.asp?id=36576723;-
ОБ УГРОЗАХ БЕЗОПАСНОСТИ СВЕДЕНИЙ ОГРАНИЧЕННОГО ДОСТУПА В СИСТЕМАХ СМЕШАННОГО ДОКУМЕНТООБОРОТА И ПРАВОВОМ РЕГУЛИРОВАНИИ В ОБЛАСТИ ПРИМЕНЕНИЯ ЦИФРОВЫХ ПОДПИСЕЙ С БИОМЕТРИЧЕСКОЙ АКТИВАЦИЕЙ;Ложников П.С., Жумажанова С.С.;;https://www.elibrary.ru//item.asp?id=37056342;-
ИНТЕГРАЦИЯ БИОМЕТРИЧЕСКОЙ И ЭЛЕКТРОННОЙ ПОДПИСЕЙ С ПРИМЕНЕНИЕМ НЕЙРОСЕТЕВЫХ АЛГОРИТМОВ;Ложников П.С.;;https://www.elibrary.ru//item.asp?id=36738323;-
БИОМЕТРИЧЕСКАЯ ЗАЩИТА ГИБРИДНОГО ДОКУМЕНТООБОРОТА;Ложников П.С.;;https://www.elibrary.ru//item.asp?id=30785641;-
РАСПОЗНАВАНИЕ СУБЪЕКТОВ И ИХ ПСИХОФИЗИОЛОГИЧЕСКИХ СОСТОЯНИЙ НА ОСНОВЕ ПАРАМЕТРОВ ПОДПИСИ ДЛЯ ЗАЩИТЫ ДОКУМЕНТООБОРОТА;Самотуга А.Е.;;https://www.elibrary.ru//item.asp?id=46163232;-
РАСПОЗНАВАНИЕ СУБЪЕКТОВ И ИХ ПСИХОФИЗИОЛОГИЧЕСКИХ СОСТОЯНИЙ НА ОСНОВЕ ПАРАМЕТРОВ ПОДПИСИ ДЛЯ ЗАЩИТЫ ДОКУМЕНТООБОРОТА;Самотуга А.Е.;;https://www.elibrary.ru//item.asp?id=54449194;-
ИСПОЛЬЗОВАНИЕ СЕТИ МНОГОМЕРНЫХ ФУНКЦИОНАЛОВ БАЙЕСА ДЛЯ НЕЙРОСЕТЕВОГО ПРЕОБРАЗОВАНИЯ РУКОПИСНОЙ ПОДПИСИ ЧЕЛОВЕКА В СЕКРЕТНЫЙ КЛЮЧ ЕГО ЭЛЕКТРОННОЙ ПОДПИСИ;Ложников П.С.;;https://www.elibrary.ru//item.asp?id=29725561;-
О СОЗДАНИИ КОЛЛЕКТИВНОЙ ЭЛЕКТРОННОЙ ПОДПИСИ НА ОСНОВЕ БИОМЕТРИЧЕСКИХ ДАННЫХ ЛИЦА ДЛЯ ЗАЩИТЫ ЦИФРОВЫХ И БУМАЖНЫХ ТЕКСТОВЫХ ДОКУМЕНТОВ;Ложников П.С., Фофанов Г.А.;;https://www.elibrary.ru//item.asp?id=30761229;-
USAGE OF QUADRATIC FORM NETWORKS FOR USERS' RECOGNITION BY DYNAMIC BIOMETRIE IMAGES;Lozhnikov P.S., Sulavko A.E.;;https://www.elibrary.ru//item.asp?id=35541677;-
ВОЗМОЖНОСТИ ИСПОЛЬЗОВАНИЯ АППАРАТА ИСКУССТВЕННЫХ ИММУННЫХ СИСТЕМ В ЗАДАЧАХ РАСПОЗНАВАНИЯ БИОМЕТРИЧЕСКИХ ОБРАЗОВ ЧЕЛОВЕКА;Ложников П.С., Сулавко А.Е., Шалина Е.В., Борисов Р.В.;;https://www.elibrary.ru//item.asp?id=30761233;-
ПЕРСПЕКТИВЫ ИСПОЛЬЗОВАНИЯ ПАРАМЕТРОВ ЭЛЕКТРОЭНЦЕФАЛОГРАММ ДЛЯ РЕШЕНИЯ ЗАДАЧ КОНТРОЛЯ ДОСТУПА К ИНФОРМАЦИИ;Ложников П.С., Сулавко А.Е., Еременко А.В., Бронников Д.А.;;https://www.elibrary.ru//item.asp?id=30761235;-
COMPARABLE ESTIMATION OF NETWORK POWER FOR CHI-SQUARED PEARSON FUNCTIONAL NETWORKS AND BAYES HYPERBOLIC FUNCTIONAL NETWORKS WHILE PROCESSING BIOMETRIC DATA;Ivanov A.I., Lozhnikov P.S., Vyatchanin S.E.;;https://www.elibrary.ru//item.asp?id=31110156;-
МЕТОДЫ РАСПОЗНАВАНИЯ ЧЕЛОВЕКА ПО ОСОБЕННОСТЯМ ЛИЦА (ОБЗОР);Ложников П.С., Сулавко А.Е., Жумажанова С.С.;;https://www.elibrary.ru//item.asp?id=30672671;-
ОЦЕНКА НАДЕЖНОСТИ ВЕРИФИКАЦИИ АВТОГРАФА НА ОСНОВЕ ИСКУССТВЕННЫХ НЕЙРОННЫХ СЕТЕЙ, СЕТЕЙ МНОГОМЕРНЫХ ФУНКЦИОНАЛОВ БАЙЕСА И СЕТЕЙ КВАДРАТИЧНЫХ ФОРМ;Иванов А.И., Ложников П.С., Сулавко А.Е.;;https://www.elibrary.ru//item.asp?id=30468360;-
СНИЖЕНИЕ ТРЕБОВАНИЙ К РАЗМЕРУ ТЕСТОВОЙ ВЫБОРКИ БИОМЕТРИЧЕСКИХ ДАННЫХ ПРИ ПЕРЕХОДЕ К ИСПОЛЬЗОВАНИЮ МНОГОМЕРНЫХ КОРРЕЛЯЦИОННЫХ ФУНКЦИОНАЛОВ БАЙЕСА;Иванов А.И., Ложников П.С., Сулавко А.Е., Серикова Ю.И.;;https://www.elibrary.ru//item.asp?id=29991650;-
ГЕНЕРАЦИЯ КЛЮЧЕВЫХ ПОСЛЕДОВАТЕЛЬНОСТЕЙ НА ОСНОВЕ ПАРАМЕТРОВ ПОДСОЗНАТЕЛЬНЫХ ДВИЖЕНИЙ;Еременко А.В., Ложников П.С., Сулавко А.Е.;;https://www.elibrary.ru//item.asp?id=27648409;-
АУТЕНТИФИКАЦИЯ ПОЛЬЗОВАТЕЛЕЙ КОМПЬЮТЕРА НА ОСНОВЕ КЛАВИАТУРНОГО ПОЧЕРКА И ОСОБЕННОСТЕЙ ЛИЦА;Ложников П.С., Сулавко А.Е., Бурая Е.В., Писаренко В.Ю.;;https://www.elibrary.ru//item.asp?id=29457219;-
ПРИМЕНЕНИЕ СЕТЕЙ КВАДРАТИЧНЫХ ФОРМ ДЛЯ РАСПОЗНАВАНИЯ СУБЪЕКТОВ ПО ДИНАМИЧЕСКИМ БИОМЕТРИЧЕСКИМ ОБРАЗАМ;Ложников П.С., Сулавко А.Е.;;https://www.elibrary.ru//item.asp?id=30624968;-
"МОДУЛЬ ДВУХФАКТОРНОЙ БИОМЕТРИЧЕСКОЙ АУТЕНТИФИКАЦИИ ""SIGNPUSH""";Волков Д.А., Ложников П.С., Пасенчук В.А., Перевальский В.А.;;https://www.elibrary.ru//item.asp?id=39350381;-
