ИДЕНТИФИКАЦИЯ ЧЕЛОВЕКА ПО ДИНАМИКЕ НАПИСАНИЯ СЛОВ В КОМПЬЮТЕРНЫХ СИСТЕМАХ;Ложников П.С.;;https://www.elibrary.ru//item.asp?id=11137553;-
АУТЕНТИФИКАЦИЯ ЛИЧНОСТИ ПО ПОДПИСИ В СИСТЕМАХ ЭЛЕКТРОННОГО БИЗНЕСА;Ложников П.С.;;https://www.elibrary.ru//item.asp?id=24617645;-
ОПЫТ РАСПОЗНАВАНИЯ ПОДПИСИ ПО ДИНАМИКЕ ИЗМЕНЕНИЯ ПОЛОЖЕНИЯ ПЕРА;Ложников П.С.;;https://www.elibrary.ru//item.asp?id=20735569;-
АУТЕНТИФИКАЦИЯ ЛИЧНОСТИ ПО ПОДПИСИ: ФОРМИРОВАНИЕ ПРОСТРАНСТВА ПРИЗНАКОВ;Ложников П.С.;;https://www.elibrary.ru//item.asp?id=46512911;-
РАСПОЗНАВАНИЕ ПОЛЬЗОВАТЕЛЕЙ В СИСТЕМАХ ДИСТАНЦИОННОГО ОБРАЗОВАНИЯ: ОБЗОР;Ложников П.С.;;https://www.elibrary.ru//item.asp?id=7560720;-
РЕКОМЕНДАЦИИ ПРЕПОДАВАТЕЛЮ ПО СОЗДАНИЮ МУЛЬТИМЕДИЙНОГО УЧЕБНИКА;Ложников П.С.;;https://www.elibrary.ru//item.asp?id=46453464;-
УНИВЕРСАЛЬНЫЙ МЕТОД ПОСТРОЕНИЯ РЕШАЮЩИХ ПРАВИЛ С ИСПОЛЬЗОВАНИЕМ СВЕРТОЧНЫХ НЕЙРОННЫХ СЕТЕЙ ДЛЯ АНАЛИЗА ГЕНЕРАТОРОВ ПСЕВДОСЛУЧАЙНЫХ ПОСЛЕДОВАТЕЛЬНОСТЕЙ НА ОСНОВЕ ИТЕРАТИВНЫХ БЛОЧНЫХ ШИФРОВ;Перов А.А.;;https://www.elibrary.ru//item.asp?id=54413463;-
МОДЕЛИ УГРОЗ НАРУШЕНИЯ БЕЗОПАСНОСТИ ИНФОРМАЦИОННЫХ ПОТОКОВ В КИБЕРПРОСТРАНСТВЕ;Егошин Н.С.;;https://www.elibrary.ru//item.asp?id=54420358;-
ЦИФРОВАЯ ТРАНСФОРМАЦИЯ;Чикунов И.М., Грехов А.М.;;https://www.elibrary.ru//item.asp?id=47701445;-
АКТУАЛЬНЫЕ ВОПРОСЫ ЗАЩИТЫ НЕЙРОСЕТЕВЫХ АЛГОРИТМОВ В СИСТЕМАХ ИСКУССТВЕННОГО ИНТЕЛЛЕКТА;Ложников П.С.;;https://www.elibrary.ru//item.asp?id=49265252;-
ЦИФРОВИЗАЦИЯ И КИБЕРБЕЗОПАСНОСТЬ: СОВРЕМЕННАЯ ТЕОРИЯ И ПРАКТИКА;-;;https://www.elibrary.ru//item.asp?id=47646790;-
NEUROBAYESIAN ALGORITHM FOR SUBJECT'S PSYCHOPHYSIOLOGICAL STATE IDENTIFICATION;Zhumazhanova S.S., Sulavko A.E., Lozhnikov P.S.;;https://www.elibrary.ru//item.asp?id=48132420;-
ЭМБРИОН ИСКУССТВЕННОГО ИНТЕЛЛЕКТА: КОМПАКТНАЯ НЕЙРОСЕТЕВАЯ ПРОВЕРКА КАЧЕСТВА СЛУЧАЙНЫХ ПОСЛЕДОВАТЕЛЬНОСТЕЙ, ПОЛУЧЕННЫХ ИЗ БИОМЕТРИЧЕСКИХ ДАННЫХ;Иванов А.И., Юнин А.П.;;https://www.elibrary.ru//item.asp?id=45599330;-
"ОБЛАЧНЫЙ СЕРВИС ""SIGNPUSH"" ДЛЯ ПОДПИСАНИЯ ДОКУМЕНТОВ РУКОПИСНОЙ ПОДПИСЬЮ В РЕЖИМЕ ОНЛАЙН";Ложников П.С., Перевальский В.А., Таг И.И., Клиновенко С.А.;;https://www.elibrary.ru//item.asp?id=46373404;-
ОЦЕНКА ИНФОРМАТИВНОСТИ БИОМЕТРИЧЕСКИХ ДАННЫХ ДИНАМИКИ РУКОПИСНОГО ПОЧЕРКА ПРИ ОБОГАЩЕНИИ ИСКУССТВЕННЫМИ НЕЙРОНАМИ В ЛИНЕЙНОМ ПРОСТРАНСТВЕ И КОРРЕЛЯЦИОННЫМИ НЕЙРОНАМИ В КВАДРАТИЧНОМ ПРОСТРАНСТВЕ;Сулавко А.Е., Ложников П.С., Иванов А.И., Золотарева Т.А.;;https://www.elibrary.ru//item.asp?id=46949821;-
ФОРМУЛИРОВАНИЕ ЦЕЛИ ЗАЩИТЫ ИНФОРМАЦИИ ДЛЯ РАЗЛИЧНЫХ ТИПОВ ИНФОРМАЦИОННЫХ СИСТЕМ;Саргин В.А., Христолюбова А.А.;;https://www.elibrary.ru//item.asp?id=46952303;-
ЗАЩИЩЕННОЕ ИСПОЛНЕНИЕ НЕЙРОСЕТЕВЫХ АЛГОРИТМОВ ИСКУССТВЕННОГО ИНТЕЛЛЕКТА: АКТУАЛЬНОСТЬ ПРОБЛЕМЫ И ПЕРСПЕКТИВНЫЕ РЕШЕНИЯ;Ложников П.С., Сулавко А.Е.;;https://www.elibrary.ru//item.asp?id=48126354;-
PERSONAL IDENTIFICATION BASED ON THE INDIVIDUAL SONOGRAPHIC PROPERTIES OF THE AURICLE USING CEPSTRAL ANALYSIS AND BAYES FORMULA;Sulavko A.E., Lozhnikov P.S., Kuprik I.A., Samotuga A.E.;;https://www.elibrary.ru//item.asp?id=46109317;-
ИНТЕЛЛЕКТУАЛЬНЫЕ ИННОВАЦИОННЫЕ ТЕХНОЛОГИИ ПРИ СТРОИТЕЛЬСТВЕ СКВАЖИН И ЭКСПЛУАТАЦИИ НЕФТЕГАЗОВЫХ МЕСТОРОЖДЕНИЙ;Дмитриевский А.Н., Еремин Н.А., Ложников П.С., Клиновенко С.А., Столяров В.Е., Сафарова Е.А.;;https://www.elibrary.ru//item.asp?id=45577041;-
